t_state,p_tnum 2020,p_cap 2020,p_tnum 2021,p_cap 2021,p_tnum 2022,p_cap 2022,p_tnum 2023,p_cap 2023,p_tnum 2024,p_cap 2024
Alaska,160.0,252.035,160.0,252.035,160.0,252.035,160.0,252.035,160.0,252.035
Arizona,269.0,1040.9,269.0,1040.9,269.0,1040.9,326.0,1279.9,479.0,1908.86
Arkansas,1.0,1.1,1.0,1.1,1.0,1.1,1.0,1.1,22.0,150.1
California,8545.0,15373.612,8658.0,15734.062000000002,8676.0,15806.402000000002,8703.0,15901.652000000002,8730.0,16017.152000000002
Colorado,2990.0,8501.99,3087.0,8806.789999999999,3153.0,8951.789999999999,3225.0,9150.83,3225.0,9150.83
Connecticut,3.0,8.1,3.0,8.1,3.0,8.1,3.0,8.1,3.0,8.1
Delaware,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0
Guam,1.0,1.275,1.0,1.275,1.0,1.275,1.0,1.275,1.0,1.275
Hawaii,127.0,363.46,127.0,363.46,127.0,363.46,127.0,363.46,127.0,363.46
Idaho,541.0,1560.5000000000002,541.0,1560.5000000000002,541.0,1560.5000000000002,541.0,1560.5000000000002,588.0,1720.3000000000002
Illinois,3450.0,10677.438,3633.0,11257.138,3676.0,11377.538,3876.0,12225.338,3935.0,12525.338
Indiana,1532.0,4747.709999999999,1653.0,5248.109999999999,1653.0,5248.109999999999,1695.0,5449.709999999999,1695.0,5449.709999999999
Iowa,6123.0,18732.823,6347.0,19325.423,6493.0,19809.323,6625.0,20236.083,6694.0,20427.033
Kansas,3911.0,12350.103,4315.0,13395.883,4315.0,13395.883,4624.0,14239.355,4733.0,14464.355
Maine,408.0,1413.0,412.0,1428.2,417.0,1448.2,417.0,1448.2,417.0,1448.2
Maryland,80.0,265.45,80.0,265.45,80.0,265.45,80.0,265.45,123.0,320.45
Massachusetts,90.0,212.87,90.0,212.87,90.0,212.87,90.0,212.87,90.0,212.87
Michigan,1333.0,4330.04,1606.0,5104.64,1627.0,5177.09,1797.0,5714.43,1797.0,5714.43
Minnesota,2628.0,7311.605000000001,2751.0,7575.605000000001,2839.0,7820.885000000001,2876.0,7920.885000000001,2876.0,7920.885000000001
Mississippi,0.0,41.0,0.0,41.0,0.0,41.0,0.0,41.0,41.0,225.5
Missouri,942.0,3087.81,1102.0,3535.81,1102.0,3535.81,1102.0,3535.81,1102.0,3535.81
Montana,552.0,1824.7000000000005,666.0,2064.5000000000005,797.0,2430.0200000000004,909.0,2741.0600000000004,1033.0,3088.3600000000006
Nebraska,1194.0,4029.980000000001,1323.0,4416.530000000001,1502.0,5018.56,1502.0,5018.56,1502.0,5018.56
Nevada,66.0,217.8,66.0,217.8,66.0,217.8,66.0,217.8,66.0,217.8
New Hampshire,84.0,298.15000000000003,84.0,298.15000000000003,84.0,298.15000000000003,84.0,298.15000000000003,84.0,298.15000000000003
New Jersey,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0
New Mexico,1241.0,4421.575000000001,1763.0,5881.650000000001,1849.0,6116.210000000001,1849.0,6116.210000000001,2025.0,6521.210000000001
New York,1324.0,3855.26,1381.0,4060.46,1381.0,4060.46,1516.0,4617.56,1516.0,4617.56
North Carolina,105.0,358.1,105.0,358.1,105.0,358.1,105.0,358.1,150.0,547.1
North Dakota,2132.0,6416.4400000000005,2203.0,6715.240000000001,2203.0,6715.240000000001,2203.0,6715.240000000001,2276.0,6914.709000000001
Ohio,424.0,1367.7050000000002,499.0,1614.7050000000002,499.0,1614.7050000000002,499.0,1614.7050000000002,499.0,1614.7050000000002
Oklahoma,4711.0,16096.855,5219.0,17699.295000000002,6063.0,20145.155,6187.0,20548.895000000004,6290.0,21048.895000000004
Oregon,3641.0,8736.960000000001,3641.0,8736.960000000001,3697.0,8946.910000000002,3697.0,8946.910000000002,3755.0,9121.910000000002
Pennsylvania,784.0,2330.6000000000004,784.0,2330.6000000000004,784.0,2330.6000000000004,799.0,2418.2000000000003,799.0,2418.2000000000003
Puerto Rico,47.0,162.02499999999998,47.0,162.02499999999998,47.0,162.02499999999998,47.0,162.02499999999998,60.0,188.025
Rhode Island,31.0,108.785,34.0,113.285,34.0,113.285,34.0,113.285,34.0,113.285
South Dakota,1080.0,3797.2040000000006,1277.0,4406.944,1349.0,4710.944,1491.0,5109.964,1491.0,5109.964
Tennessee,18.0,46.98,18.0,46.98,18.0,46.98,18.0,46.98,18.0,46.98
Texas,16761.0,54111.07800000001,17872.0,57449.16300000001,19410.0,62673.57500000001,19744.0,63814.055000000015,20256.0,65474.875000000015
Utah,205.0,596.11,205.0,596.11,205.0,596.11,205.0,596.11,205.0,596.11
Vermont,73.0,222.6,73.0,222.6,73.0,222.6,73.0,222.6,73.0,222.6
Washington,2548.0,6227.69,2548.0,6227.69,2548.0,6227.69,2548.0,6227.69,2548.0,6227.69
West Virginia,457.0,1322.65,480.0,1437.65,480.0,1437.65,480.0,1437.65,480.0,1437.65
Wisconsin,451.0,1214.42,451.0,1214.42,451.0,1214.42,479.0,1306.8200000000002,479.0,1306.8200000000002
Wyoming,1333.0,4531.73,1418.0,4832.83,1418.0,4832.83,1467.0,4966.43,1752.0,5799.150000000001
